index,类别,子类,实体名称,问题,参考答案,Evidence
10,Issue驱动,Bug排查,Issue #9473,我遇到了这个问题：Build failure in master on Ubuntu 24.04 with CUDA enabled。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户在 Ubuntu 24.04 环境下启用 CUDA 编译 llama.cpp 时，出现构建失败。该问题自 9 月中旬开始出现，使用的编译器为 gcc 13.2，CUDA 版本为 12.6，且系统和工具链均为最新版本。

2. **可能原因**  
llama.cpp 的 CUDA 支持依赖于 nvcc 与 gcc 的兼容性。Ubuntu 24.04 默认 gcc 版本较新（13.x），而 CUDA 12.6 官方对 gcc 13 的支持尚不完善，可能导致编译器内部调用错误或不兼容的编译选项。此外，CUDA 12.6 的某些内部头文件或宏定义更新，也可能与 llama.cpp 的 CUDA 代码存在细微冲突。

3. **排查思路**  
- 首先确认具体的编译错误日志，定位是 nvcc 编译阶段还是链接阶段失败。  
- 尝试切换 gcc 版本（如降级到 gcc 11 或 12）进行编译，验证是否为编译器兼容性问题。  
- 检查 CUDA 代码中是否有使用过时或不兼容的语法或宏定义。  
- 对比之前成功构建的环境配置，确认系统库和 CUDA Toolkit 版本差异。  
- 关注社区和官方发布的针对 CUDA 12.6 与 gcc 13 的兼容性补丁或建议。

4. **已知结论**  
目前该 Issue 尚未有官方修复发布，社区普遍建议在 Ubuntu 24.04 上使用 gcc 11/12 版本编译 CUDA 代码以规避兼容性问题。后续 llama.cpp 可能会调整 CUDA 编译配置或提供更好的兼容性支持。用户可关注后续更新或临时切换编译器版本解决构建失败。",Issue #9473
11,Issue驱动,Bug排查,Issue #107,我遇到了这个问题：inlining failed in call to always_inline ‘_mm256_cvtph_ps’: target specific opti。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
编译 llama.cpp 时，出现类似“inlining failed in call to always_inline ‘_mm256_cvtph_ps’: target specific option mismatch”的错误，导致编译失败。该错误通常发生在使用 SIMD 指令集相关的内联函数时，编译器无法找到对应的硬件支持或编译选项不匹配。

2. **可能原因**  
llama.cpp 中部分性能关键代码依赖 AVX、AVX2 或 AVX512 等 SIMD 指令集，尤其是半精度浮点转换函数 `_mm256_cvtph_ps`。该函数要求编译器启用对应的 CPU 指令集扩展（如 `-mavx2` 或 `-mavx512f`）。如果编译环境默认未开启这些选项，或者目标 CPU 不支持，编译器会报错。此外，某些编译器版本或平台对这些内联函数支持不完善，也可能导致此问题。

3. **排查思路**  
- 检查编译命令行，确认是否包含了正确的 `-mavx2` 或相关指令集编译选项。  
- 使用 `cat /proc/cpuinfo` 或类似工具确认本机 CPU 是否支持相关指令集。  
- 尝试升级或更换编译器版本（如 gcc、clang），以排除编译器兼容性问题。  
- 查看 Makefile 或 CMakeLists.txt 中是否正确设置了目标架构和编译选项。  
- 若使用交叉编译或非标准环境，确认目标平台支持对应指令集。

4. **已知结论**  
该问题在 Issue #107 中主要因编译选项缺失导致。解决方案是确保编译时启用正确的 CPU 指令集支持选项（如 `-mavx2`），并使用支持这些指令集的编译器版本。官方默认构建脚本通常会自动处理，但手动编译时需注意。若硬件不支持，建议关闭相关优化或在配置中禁用对应指令集。",Issue #107
12,Issue驱动,性能问题,Issue #17033,llama.cpp 推理时遇到性能问题：performance regression in `llama-server` (`ggml-vulkan`)。有什么优化建议？,"针对 `llama-server` 在使用 `ggml-vulkan` 后出现的性能回退问题，分析如下：

1. **性能瓶颈**  
此次性能回退的核心原因是最近一次合并（commit cd5e3b575）引入了对 Vulkan 后端调度或内存管理的改动，导致 GPU 资源利用率下降，具体表现为命令缓冲区提交效率降低和同步开销增加，从而影响了推理吞吐量。

2. **影响范围**  
该问题主要影响基于 Vulkan 的 GPU 推理环境，尤其是在 Windows 和 Linux 平台上使用 `llama-server` 的场景。与之对比，Metal 后端未出现类似回退，说明问题与 Vulkan 特定的驱动或调度实现相关。模型规模上，中大型模型推理时性能下降更明显。

3. **优化方向**  
- 回退至引入回退前的稳定版本，等待后续修复。  
- 关注 Vulkan 命令缓冲区的合理复用，减少提交次数。  
- 优化同步机制，避免不必要的阻塞。  
- 结合 Vulkan 驱动特性，调整内存分配策略和队列优先级。  
- 关注社区后续补丁和性能测试反馈，及时更新。  

4. **参考信息**  
Issue 中通过对比性能曲线图，明确定位到 cd5e3b575 合并引入的变更是性能下降的起点，且 Metal 后端无此问题，排除了通用代码改动的影响，指向 Vulkan 后端实现细节的回退。

综上，建议暂时使用稳定版本，关注 Vulkan 后端的调度和同步优化，等待核心团队针对该提交的修复。",Issue #17033
13,Issue驱动,Feature需求,Issue #16331,llama.cpp 目前支持 DeepSeek V3.2-Exp support 吗？社区有没有相关的讨论或计划？,"关于 DeepSeek V3.2-Exp 在 llama.cpp 中的支持问题，现做如下说明：

1. **需求背景**  
DeepSeek V3.2-Exp 是一种针对模型推理效率和灵活性优化的扩展格式，旨在提升加载速度和内存利用率，尤其适合大规模推理场景。用户希望通过支持该格式，获得更快的模型加载和更低的资源消耗，从而改善部署体验。

2. **当前状态**  
截至目前，llama.cpp 官方版本尚未原生支持 DeepSeek V3.2-Exp 格式。项目主要聚焦于原生 llama 模型及其衍生格式的高效推理。虽然社区中有部分开发者参考了 VLLM 实现的相关代码，尝试探索兼容方案，但尚无稳定合并的支持分支或官方发布。

3. **社区态度**  
在 Issue #16331 中，社区对引入 DeepSeek V3.2-Exp 表现出一定兴趣，认可其潜在价值，但也指出该功能实现复杂度较高，且需要权衡维护成本与实际收益。目前讨论更多集中在评估需求优先级和技术可行性，尚未形成明确的开发计划。

4. **使用建议**  
对于有迫切需求的开发者，建议关注社区动态和相关分支，尝试基于 VLLM 代码进行二次开发或实验。同时，可考虑使用现有的 llama.cpp 版本配合模型量化和优化技巧，以获得较优性能。若项目对 DeepSeek V3.2-Exp 有强依赖，建议权衡使用支持该格式的其他推理框架。

总结：DeepSeek V3.2-Exp 支持尚处于探索阶段，官方暂未集成，社区关注度中等，建议根据实际需求选择合适方案并密切跟进后续进展。",Issue #16331
14,Issue驱动,Feature需求,Issue #4381,llama.cpp 目前支持 add Mixtral support 吗？社区有没有相关的讨论或计划？,"关于“llama.cpp 支持 Mixtral 模型”的需求，现做如下说明：

1. **需求背景**  
Mixtral 是 Mistral 团队推出的基于 Mixture of Experts（MoE）架构的模型，因其在推理效率和性能上的潜力，受到社区关注。用户希望在 llama.cpp 中直接支持 Mixtral，以便利用轻量级本地推理框架运行该模型，满足低延迟和资源受限环境下的应用需求。

2. **当前状态**  
截至目前，llama.cpp 官方尚未原生支持 Mixtral 模型。主要原因在于 Mixtral 的 MoE 结构与 llama.cpp 现有的模型加载和推理流程存在架构差异，尤其是专家路由机制尚未集成。社区中暂无成熟的替代方案，但部分用户尝试通过自定义修改或外部转换工具进行适配，效果有限且不稳定。

3. **社区态度**  
Issue #4381 中，社区对增加 Mixtral 支持表现出浓厚兴趣，讨论主要集中在实现 MoE 路由逻辑的技术难点和性能权衡。部分开发者建议先完善基础模型兼容性，再逐步引入 MoE 支持。整体来看，支持 Mixtral 被视为中长期目标，当前优先级相对较低。

4. **使用建议**  
对于急需使用 Mixtral 模型的开发者，建议关注官方更新和社区贡献，积极参与讨论以推动支持进展。短期内可考虑使用官方或第三方提供的专用推理框架，结合 llama.cpp 做辅助处理。若具备较强开发能力，也可尝试基于现有代码库自行实现 MoE 路由模块，但需注意维护成本和稳定性风险。

总结：Mixtral 支持是一个复杂且尚在规划中的功能，社区欢迎贡献，建议关注 Issue 动态并结合现有工具进行实验。",Issue #4381
15,Issue驱动,Bug排查,Issue #16416,我遇到了这个问题：Nemotron-H-47B-Reasoning always reprocesses prompt (even after #16382)。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
Nemotron-H-47B-Reasoning 模型在使用 llama.cpp 进行推理时，尽管合并了 PR #16382，仍然每次都重新处理完整提示（prompt），上下文缓存（kv-cache）未生效，导致推理效率低下且响应时间增长。

2. **可能原因**  
llama.cpp 的上下文缓存机制依赖于模型的 kv-cache 支持和正确的 prompt 分段处理。Nemotron-H-47B-Reasoning 属于混合量化模型（hybrid model），其权重格式和缓存策略可能与标准模型不同。PR #16382 针对部分混合模型修复了缓存逻辑，但 Nemotron-H-47B-Reasoning 可能存在特殊的权重布局或缓存索引未正确处理，导致缓存未被正确识别或复用。

3. **排查思路**  
- 检查模型加载时 kv-cache 是否正确初始化，确认模型文件格式与 llama.cpp 版本兼容。  
- 通过调试日志或增加打印，确认每次推理调用时缓存是否被命中，及缓存状态变化。  
- 对比 Nemotron-H-47B-Reasoning 与其他混合模型的缓存处理流程，定位是否存在特殊处理遗漏。  
- 复现问题时，尝试使用简单 prompt，观察缓存行为是否一致，排除输入长度或格式问题。  
- 关注 llama-server 配置，确认 kv-cache 参数是否正确传递和生效。

4. **已知结论**  
目前 Issue #16416 中尚无明确修复方案，PR #16382 对部分混合模型有效，但 Nemotron-H-47B-Reasoning 仍未解决。建议关注后续 PR 更新，或在社区中提供详细模型信息和复现步骤，协助定位缓存兼容性问题。短期内可通过减少 prompt 长度或手动管理缓存状态作为临时缓解。",Issue #16416
16,Issue驱动,Bug修复链路,Issue #19690,"llama.cpp 中出现了这个问题： qwen35moe always forces a full prompt reprocess after each message, 'failed to 。这是什么原因？社区是怎么解决的？","1. **问题症状**  
在使用 qwen35moe 模型时，每次生成回复时都会强制对整个提示词（prompt）进行完整重处理，而非增量处理，导致性能大幅下降。此外，日志中会出现“failed to truncate”错误提示，影响正常的上下文管理和续写效率。

2. **根本原因**  
该问题源于模型量化格式（Q5_K_XL）与 llama.cpp 中上下文截断逻辑的不兼容。具体表现为模型状态在多轮对话中未能正确保存和复用，导致每次生成都必须重新处理完整上下文。截断函数在处理量化权重时未能正确识别和截断对应层，触发“failed to truncate”错误。

3. **修复思路**  
排查应聚焦于上下文管理模块，尤其是截断（truncate）逻辑对量化模型权重的支持。需要确认截断函数能正确识别所有量化层的命名和结构，确保多轮对话时能增量更新上下文状态。调试时应结合具体量化格式的权重文件结构，验证截断操作的正确性。

4. **修复方案**  
社区通过 PR #19715 对截断逻辑进行了改进，增强了对 Qwen3.5 量化模型中特殊层命名的支持，修正了截断函数对量化权重的识别和处理。该修复使得多轮对话时能够正确截断和复用上下文状态，避免了每次生成都重新处理完整提示，从而解决了性能瓶颈和“failed to truncate”错误。","Issue #19690, PR #19849"
17,Issue驱动,Bug修复链路,Issue #17628,我发现 llama.cpp 的某模块性能下降了，可能是什么原因？有没有已知的修复方案？,"1. **问题症状**  
在使用 Vulkan 后端运行 llama.cpp 时，尤其是在 Intel Arc A770 GPU 上，模型推理的吞吐率（tokens per second）明显下降。例如，从版本 b7189 升级到 b7209 后，token 生成速度从 53 t/s 降至 42 t/s，整体性能出现明显退化。

2. **根本原因**  
该性能下降主要源自 Vulkan 后端某次提交引入的资源管理和调度策略变更，导致 GPU 计算流水线利用率降低。此外，部分前向激活（FA，forward activation）缓存机制存在不合理的同步或内存访问模式，增加了额外的延迟和开销，进而影响整体性能。

3. **修复思路**  
应重点排查 Vulkan 后端的命令缓冲区提交顺序、同步机制以及缓存管理策略，尤其是与前向激活缓存相关的实现。通过对比性能变化前后的代码差异，定位引入性能瓶颈的具体改动。优化 GPU 资源调度，减少不必要的同步等待，确保计算和内存访问的高效并行。

4. **修复方案**  
已有 PR 针对该问题进行了修复，主要包括：调整 Vulkan 命令缓冲区的提交逻辑，优化前向激活缓存的访问模式，避免重复计算和不必要的同步操作。修复后，模型推理速度恢复至之前的水平，性能退化问题得到有效解决。建议尽快合并该 PR 并进行回归测试。","Issue #17628, PR #20672"
18,Issue驱动,性能问题,Issue #603,llama.cpp 推理时遇到性能问题：gpt4all Faster than Optimized llama.cpp。有什么优化建议？,"针对 llama.cpp 推理性能不及 gpt4all 的问题，分析如下：

1. **性能瓶颈**  
主要原因在于当前版本的 llama.cpp 采用了更严格的硬件适配和优化策略，导致部分平台上某些指令集或多线程调度未能充分发挥效能。另外，模型加载和缓存机制的差异也可能引起性能波动。gpt4all 使用的旧版本可能在特定硬件上有更轻量的实现，减少了开销。

2. **影响范围**  
该问题主要影响使用多线程和 SIMD 指令集优化的 x86_64 架构，尤其是未针对具体 CPU 特性（如 AVX2/AVX512）进行细粒度调优的场景。大型模型（如 7B 及以上）推理时更明显，因计算和内存带宽需求较高。

3. **优化方向**  
- 确认编译时开启了针对目标 CPU 的最佳指令集支持（如 `-march=native` 或手动指定 AVX2/AVX512）。  
- 调整线程数，避免过度线程竞争，建议从 1 到 CPU 核心数逐步测试。  
- 使用最新的 llama.cpp 代码库，关注社区对性能相关 PR 的合并情况。  
- 结合 `--low_vram`、`--no_mmap` 等参数，根据硬件内存和存储性能调整模型加载方式。  
- 关注模型量化和内存布局优化，减少内存访问瓶颈。

4. **参考信息**  
Issue 中提到，gpt4all 默认使用的 llama.cpp 版本较旧，但在相同模型和硬件上表现更快，暗示新版本在某些实现细节上存在性能倒退。建议用户结合硬件特性和实际使用场景，调整编译和运行参数以获得最佳性能。

总结：性能差异多因硬件适配和多线程调度策略不同，合理配置编译选项和运行参数是提升 llama.cpp 性能的关键。",Issue #603
19,Issue驱动,Bug修复链路,Issue #19659,"llama.cpp 中出现了这个问题：[CUDA, cuBLAS] Corrupted output on CUBLAS with moe models like Nemotron-3-nano a。这是什么原因？社区是怎么解决的？","1. **问题症状**  
在使用支持 MoE（Mixture of Experts）架构的模型（如 Nemotron-3-nano 30B 和 gpt-oss-120b）时，若在 CUDA 环境下（特别是 sm70 设备，如 Tesla V100）处理长上下文（通常超过 25000 tokens），会出现输出结果严重异常，表现为输出内容被单一 token 持续刷屏，且即使清空或切换上下文缓冲区问题依旧存在，导致模型推理结果完全错乱。

2. **根本原因**  
该问题源于 cuBLAS 库在执行大批量矩阵乘法时，针对 MoE 模型的特殊计算路径存在内存访问越界或缓冲区管理不当的情况。具体表现为在长序列输入触发大批量矩阵乘法优化模式时，内部状态或指针未正确同步，导致显存数据被破坏，输出被污染。

3. **修复思路**  
排查重点应放在 cuBLAS 调用的参数设置、缓冲区分配与复用逻辑，尤其是针对 MoE 模型的多专家路由和大批量矩阵乘法模式。需要确认长上下文处理时的内存管理是否符合预期，避免指针混淆或越界访问。调试时可通过缩短输入长度、切换设备或禁用大批量优化模式定位问题。

4. **修复方案**  
社区通过限制长上下文下大批量矩阵乘法模式的自动启用，或者调整 MoE 模型的矩阵乘法调用逻辑，确保每次调用时缓冲区和指针状态正确同步，避免内存覆盖。相关 PR 主要修正了 cuBLAS 调用的参数传递和缓冲区管理，保证在长输入和 MoE 路由场景下数据完整性，从根本上杜绝了内存破坏和输出污染问题。","Issue #19659, PR #19916"
20,Issue驱动,Feature需求,Issue #6747,llama.cpp 目前支持 llama3 family support 吗？社区有没有相关的讨论或计划？,"关于 llama3 family 支持的需求，主要动机是用户希望能在 llama.cpp 中运行最新发布的 LLaMA 3 模型，以利用其在性能和能力上的提升，满足更高质量的推理和研究需求。这对于希望在本地或边缘设备上部署先进语言模型的开发者和研究者尤为重要。

目前，llama.cpp 官方尚未正式支持 LLaMA 3 系列模型，主要因为 LLaMA 3 的模型格式和权重尚未完全公开或标准化，且其体积和架构可能带来额外的适配工作。现阶段，用户可以继续使用 llama.cpp 支持的 LLaMA 2 或更早版本模型，或者借助官方或第三方工具将 LLaMA 3 权重转换为兼容格式，但这存在一定技术门槛和不确定性。

从社区反馈来看，Issue #6747 中用户表达了强烈的期待，开发者和社区成员也关注这一需求，讨论多集中在模型格式兼容性、性能优化和权重获取的合法性问题。整体态度积极，期待官方或社区能尽快推动支持，但尚无明确时间表。

建议开发者关注 llama.cpp 官方仓库的更新公告，参与社区讨论，关注权重格式的发布和转换工具的进展。如果急需使用 LLaMA 3，可以尝试使用官方提供的其他框架或等待社区贡献的转换方案，同时做好模型适配和性能调优的准备。",Issue #6747
21,Issue驱动,Bug排查,Issue #11044,我遇到了这个问题：SYCL out of memory error。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户在使用 llama.cpp 的 SYCL 后端时遇到“out of memory”错误，提示无法分配约 568MB 内存。该问题在相同硬件（16GB GPU共享内存）和相同模型配置下，使用 VULKAN 后端时未出现。错误不仅在 llama-cli 中出现，Python 绑定（llama-cpp-python）也会复现，且在多个版本中均存在。

2. **可能原因**  
llama.cpp 的 SYCL 后端依赖于底层 SYCL 运行时对显存的管理。由于 SYCL 主要面向多平台异构计算，内存分配策略和碎片化问题较 Vulkan 更复杂。共享系统内存（非独立显存）可能导致内存分配限制更严格，且 SYCL 运行时可能未能有效回收或复用内存块。此外，模型加载和中间缓存的内存需求较大，若内存碎片严重或分配策略不合理，容易触发分配失败。

3. **排查思路**  
- 确认 SYCL 运行时及驱动版本是否最新，避免已知内存管理缺陷。  
- 监控显存使用情况，观察内存碎片和峰值分配，排除内存泄漏。  
- 尝试减少模型上下文长度或 batch size，验证是否因内存需求过大导致。  
- 对比 Vulkan 与 SYCL 后端的内存分配逻辑，定位差异。  
- 在不同硬件或操作系统环境下复现，排除特定平台限制。  

4. **已知结论**  
该 Issue 中未见明确修复方案，问题可能与 SYCL 后端内存管理机制相关，且在共享系统内存环境下更易出现。建议优先使用 Vulkan 后端或独立显存设备运行，等待后续 SYCL 运行时和 llama.cpp 的优化更新。社区也欢迎提供更多复现环境信息以协助定位。",Issue #11044
22,Issue驱动,Bug排查,Issue #5186,我遇到了这个问题：Subtle Vulkan shader compilation bug when running on Adreno GPUs (Samsung Galaxy。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
在使用 llama.cpp 运行基于 Vulkan 的推理时，部分搭载 Adreno GPU（如 Samsung Galaxy S23 Ultra）的设备出现 shader 编译异常或渲染错误，导致模型推理失败或结果异常。这种问题表现为 Vulkan shader 在编译阶段产生 subtle（微妙）错误，难以直接定位。

2. **可能原因**  
llama.cpp 在 Vulkan 后端中大量依赖 GPU shader 来加速张量计算。Adreno GPU 的 Vulkan 驱动在特定 shader 代码路径或优化级别下，可能存在编译器缺陷或兼容性问题。尤其是针对复杂的 compute shader，驱动的 shader compiler 可能生成错误的机器码，导致计算结果异常。此类问题往往与 shader 代码的某些写法（如特定的内存访问模式、分支结构）或 Vulkan API 使用细节有关。

3. **排查思路**  
- 复现问题时，开启 Vulkan 层调试和 shader 编译日志，捕获具体的编译错误或警告信息。  
- 尝试简化 shader 代码，逐步缩小问题范围，确认是否某些指令或代码结构触发驱动 bug。  
- 在不同 Adreno 驱动版本和设备上测试，确认是否为特定版本驱动缺陷。  
- 使用 Vulkan SDK 的 shader validator 工具检查 shader 代码合规性。  
- 结合 llama.cpp 的 Vulkan 后端源码，检查是否存在对 Vulkan 规范的误用。

4. **已知结论**  
目前该 Issue 暂无官方修复方案，Qualcomm 驱动版本信息表明问题与其 shader compiler 版本相关。短期内建议尝试切换驱动版本或使用 CPU 后端作为替代。社区可尝试调整 shader 代码结构，规避触发驱动 bug 的写法，或向 Qualcomm 反馈该编译器缺陷以期获得官方修复。",Issue #5186
23,Issue驱动,Bug排查,Issue #15789,我遇到了这个问题：gpt-oss-20b returns only analisys chunk w/o content and tools。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户运行 gpt-oss-20b 模型时，模型返回的响应仅包含“analysis”类型的片段，缺少实际内容和工具调用信息，导致输出不完整，无法正常执行预期的推理或工具调用。

2. **可能原因**  
llama.cpp 在处理带有工具调用或多段输出的推理时，依赖于模型的输出格式和推理策略（如 split-mode、reasoning-format 等参数）。该问题可能由以下原因引起：  
- 模型或推理参数配置不匹配，导致解析器只捕获到了分析片段而忽略了后续内容和工具调用。  
- 模型权重或 tokenizer 版本与 llama.cpp 解析逻辑不兼容，导致输出被截断或格式异常。  
- 使用了不支持或未完全实现的推理格式（reasoning-format none），使得模型只输出了分析提示，未生成完整内容。  
- flash-attn 或多线程等性能优化参数可能引入了推理状态同步问题，影响输出完整性。

3. **排查思路**  
- 检查模型文件是否完整且与当前 llama.cpp 版本兼容，确认 tokenizer 配置正确。  
- 逐步简化启动参数，尝试关闭 flash-attn、调整 split-mode 和 reasoning-format，观察输出变化。  
- 通过增加日志或调试信息，确认模型推理过程中是否完整生成了内容和工具调用片段。  
- 使用官方示例或其他模型验证推理流程是否正常，排除环境或硬件问题。  
- 如果可能，尝试用较低版本或不同配置的 llama.cpp 运行该模型，确认是否为版本兼容问题。

4. **已知结论**  
目前该 Issue 中未见明确修复方案，推测是模型与推理参数配置不匹配导致。建议调整 reasoning-format 参数，或等待后续版本对 gpt-oss-20b 模型的支持优化。同时，关注官方更新和社区反馈，确认是否有针对该模型的专门修复或使用说明。",Issue #15789
24,Issue驱动,Bug排查,Issue #11325,我遇到了这个问题：<think> tag with DeepSeek-R1-Distill-Qwen-1.5B-Q5_K_M.gguf。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户在使用 DeepSeek-R1-Distill-Qwen-1.5B-Q5_K_M.gguf 模型时，生成文本中出现了不应显示的 `<think>` 标签。这种标签通常是模型内部推理或提示用的标记，正常情况下不应直接输出给终端用户。

2. **可能原因**  
llama.cpp 作为轻量级推理框架，依赖模型本身的 tokenizer 和生成逻辑。出现 `<think>` 标签，可能是模型在训练或量化过程中保留了特殊的控制标记，或者模型权重文件中嵌入了这类标签作为辅助信息。另一种可能是 tokenizer 配置或解码策略未正确处理这些特殊标记，导致它们被当作普通文本输出。

3. **排查思路**  
- 检查 gguf 模型文件的 tokenizer 配置，确认是否包含 `<think>` 这类特殊 token。  
- 通过 llama.cpp 的 tokenizer 接口，尝试对输入和输出进行编码解码，观察是否在中间环节出现了异常。  
- 复现问题时，尝试调整生成参数（如温度、top-p、stop tokens），看是否能避免输出该标签。  
- 对比官方或其他版本的 Qwen 模型，确认是否为模型自身特性或量化/转换过程引入。  
- 查看是否有后续更新或补丁修复了相关问题。

4. **已知结论**  
目前该 Issue 中未见官方明确修复方案或确认是 llama.cpp 代码缺陷。更可能是模型文件本身设计包含了 `<think>` 标签，建议用户联系模型提供方确认标签用途，或在推理时通过 stop token 或后处理过滤该标签。后续可关注 llama.cpp 社区是否有针对该模型的专门适配或修正。",Issue #11325
25,Issue驱动,Bug修复链路,Issue #19304,我在使用 llama.cpp 时遇到了类似的问题：Lllama.cpp crashes when running Qwen Next 80B Coder。可能是什么原因导致的？应该怎么排查？,"1. **问题症状**  
在使用 llama.cpp 运行 Qwen Next 80B Coder 模型时，程序在长上下文（约 86K token）多次调用推理接口后崩溃，崩溃点定位在 `llama_grammar_accept_token` 函数，表现为访问非法内存或线程异常终止。

2. **根本原因**  
该问题主要源于 OpenCL 相关算子（如 concat、repeat、tanh、scale）的实现重构后，部分操作在处理超长上下文或大规模张量时未正确管理内存和数据同步，导致状态不一致或越界访问。此外，部分变量未被正确使用或初始化，进一步加剧了不稳定性。

3. **修复思路**  
排查重点应放在 OpenCL 计算流程中张量维度和内存边界的正确性，特别是 concat 和 repeat 操作对大上下文的支持。需要验证算子在 fp16 精度下的数值稳定性和内存访问安全。同步机制和变量使用情况也需全面审查，确保无未使用或未初始化变量。

4. **修复方案**  
PR #19226 通过重构 OpenCL 相关算子，优化了 concat、repeat、tanh 和 scale 的实现，启用了 tanh 的 fp16 支持，并修复了未使用变量问题。该改动增强了算子对大上下文的支持和内存管理的健壮性，从根本上避免了因算子实现缺陷导致的崩溃，解决了 Qwen Next 80B Coder 在长上下文下的稳定性问题。建议升级到包含该 PR 的版本以获得修复。","Issue #19304, PR #19765"
26,Issue驱动,Bug修复链路,Issue #19513,llama.cpp 中出现了这个问题：Qwen3-Coder-Next generates prematurely EOS instead of tool call(/continued respo。这是什么原因？社区是怎么解决的？,"1. **问题症状**  
在使用 Qwen3-Coder-Next 模型进行推理时，模型生成过程中出现了异常：在多次成功调用工具接口（tool call）后，模型会提前生成 EOS（End Of Sequence）标记，导致生成过程非预期中断，工具调用未能正常触发，进而使得代理（agent）回合提前结束。

2. **根本原因**  
该问题主要源于模型推理时对 EOS 标记的判定逻辑不够严谨，尤其是在连续多轮工具调用场景下，模型输出的 token 序列中 EOS token 被误判为生成结束信号，而实际上模型应继续生成后续的工具调用内容。此外，Qwen3-Coder-Next 模型的特殊输出格式和 token 解码策略未能完全兼容，导致生成中断。

3. **修复思路**  
应重点排查推理流程中 EOS token 的判定逻辑，尤其是结合模型的输出格式，区分真正的结束信号和工具调用标记的边界。需要调整生成终止条件，使其支持连续多轮工具调用的场景，避免误判。同时，检查解码器对特殊 token 的处理，确保工具调用标记能被正确识别和解析。

4. **修复方案**  
社区通过调整推理代码中 EOS token 的判定条件，增加对工具调用标记的识别支持，避免将工具调用标记误判为结束信号。具体做法包括修改生成终止判断逻辑，允许在检测到工具调用标记时继续生成，直到真正的 EOS token 出现。此外，还优化了模型输出的后处理流程，确保连续多轮工具调用能被正确解析和执行。相关修复已通过 PR 合入，显著改善了 Qwen3-Coder-Next 在工具调用场景下的稳定性和准确性。","Issue #19513, PR #19773"
27,Issue驱动,Bug排查,Issue #12234,我遇到了这个问题：Excessive stack usage during tool calling。有人遇到过类似的情况吗？可能的原因和解决方向是什么？,"1. **症状描述**  
用户在使用 llama.cpp 结合 BFCL 和 llama-server 运行模型时，遇到了“Excessive stack usage during tool calling”（工具调用时栈使用过多）导致程序崩溃，且崩溃不具备确定性，部分情况下通过 gdb 捕获到崩溃堆栈信息。

2. **可能原因**  
llama.cpp 在执行推理或调用外部工具时，部分递归或深度调用可能导致栈空间消耗异常。结合 Issue 中出现的正则表达式处理（regex）相关调用，推测在工具调用链中存在大量临时对象创建或复杂字符串处理，导致栈帧膨胀。此外，模型量化（Q4_K_M）和多线程并发执行可能加剧栈空间压力。NVIDIA RTX 4070 Laptop GPU 及其驱动环境也可能对内存管理有特殊要求，间接影响栈使用。

3. **排查思路**  
- 使用 gdb 或类似调试工具定位具体崩溃点，关注调用栈深度及异常函数。  
- 检查工具调用相关代码，尤其是涉及字符串处理、正则表达式的部分，确认是否存在递归或大对象栈分配。  
- 通过减少线程数或调整模型量化参数，观察栈使用变化。  
- 在不同硬件和驱动环境下复现问题，排除环境因素。  
- 结合编译器栈大小设置，尝试增加线程栈大小限制。

4. **已知结论**  
目前该 Issue 尚无明确修复方案，崩溃表现不稳定，开发团队建议重点排查工具调用链中正则表达式和字符串处理逻辑，优化栈空间使用。后续版本可能通过改进内存管理和调用方式降低栈压力。用户可尝试临时调整线程栈大小或减少并发度缓解问题。",Issue #12234
28,Issue驱动,Feature需求,Issue #8650,llama.cpp 目前支持 Proper Llama 3.1 Support in llama.cpp 吗？社区有没有相关的讨论或计划？,"1. 需求背景  
Llama 3.1 相较于前代模型在架构上保持一致，但引入了关键的 RoPE（旋转位置编码）缩放机制更新，这对生成文本的连贯性和质量有显著提升。用户希望在 llama.cpp 中实现这些改动，以充分发挥 Llama 3.1 的潜力，避免生成结果表面连贯但实际表现不佳的情况。

2. 当前状态  
截至目前，llama.cpp 官方版本尚未完全支持 Llama 3.1 的 RoPE 缩放更新，模型加载和推理仍基于 Llama 2.x 或更早版本的实现。部分社区成员尝试通过修改源码或借助 transformers 库的实现进行适配，但尚无官方集成的稳定方案。

3. 社区态度  
Issue #8650 中，社区普遍认可 Llama 3.1 支持的重要性，讨论集中在如何合理实现 RoPE 缩放及相关模型参数调整。部分开发者表达了愿意贡献代码，但也指出需要深入理解模型细节和验证性能，避免引入不兼容或效率问题。

4. 使用建议  
目前建议开发者继续使用已验证的 Llama 2.x 版本模型以保证稳定性。如果需要尝试 Llama 3.1，可以关注 transformers 库中对应实现，结合社区的非官方补丁进行测试。同时，建议关注 llama.cpp 官方仓库的更新动态，参与社区讨论，等待正式支持发布。对于有能力深入源码的开发者，可尝试贡献 RoPE 缩放相关的改进代码，推动功能尽快落地。",Issue #8650
